month,country,distribution_centre,category,product,forecast_units,actual_units,smape_pct,service_level_pct,inventory_units,exception_type
2025-01-01,Germany,DC Berlin,Ambient,Pasta,6984,8824,23.28,95.23,2623,High Forecast Error
2025-01-01,Germany,DC Berlin,Ambient,Rice,13067,15935,19.78,95.22,3087,Under Forecast
2025-01-01,Germany,DC Berlin,Fresh,Dairy,16149,15279,5.54,95.76,4435,Within Tolerance
2025-01-01,Germany,DC Berlin,Fresh,Produce,12228,13873,12.6,95.64,2099,Under Forecast
2025-01-01,Germany,DC Berlin,Frozen,Frozen Meals,10588,9615,9.63,96.64,3283,Over Forecast
2025-01-01,Germany,DC Cologne,Ambient,Pasta,10349,12514,18.94,94.4,2738,Low Service Level
2025-01-01,Germany,DC Cologne,Ambient,Rice,13047,11333,14.06,95.08,3906,Over Forecast
2025-01-01,Germany,DC Cologne,Fresh,Dairy,10775,13201,20.24,93.94,4318,High Forecast Error
2025-01-01,Germany,DC Cologne,Fresh,Produce,13514,12925,4.46,95.18,2528,Within Tolerance
2025-01-01,Germany,DC Cologne,Frozen,Frozen Meals,14479,11741,20.88,90.98,2654,High Forecast Error
2025-01-01,UK,DC Midlands,Ambient,Pasta,15473,14428,6.99,96.54,2769,Within Tolerance
2025-01-01,UK,DC Midlands,Ambient,Rice,12544,11374,9.78,95.27,3151,Over Forecast
2025-01-01,UK,DC Midlands,Fresh,Dairy,17569,15751,10.91,97.35,5480,Over Forecast
2025-01-01,UK,DC Midlands,Fresh,Produce,11604,10598,9.06,94.63,2075,Low Service Level
2025-01-01,UK,DC Midlands,Frozen,Frozen Meals,8656,7525,13.98,96.4,2503,Over Forecast
2025-01-01,UK,DC North,Ambient,Pasta,10670,12155,13.01,96.0,3386,Under Forecast
2025-01-01,UK,DC North,Ambient,Rice,8423,9340,10.32,97.01,1892,Within Tolerance
2025-01-01,UK,DC North,Fresh,Dairy,16725,14019,17.6,94.74,4900,Low Service Level
2025-01-01,UK,DC North,Fresh,Produce,15456,15348,0.7,94.98,2771,Low Service Level
2025-01-01,UK,DC North,Frozen,Frozen Meals,11010,9621,13.47,96.31,2177,Over Forecast
2025-01-01,Austria,DC Vienna,Ambient,Pasta,15011,14668,2.31,94.12,2234,Low Service Level
2025-01-01,Austria,DC Vienna,Ambient,Rice,9707,8876,8.94,95.85,2469,Within Tolerance
2025-01-01,Austria,DC Vienna,Fresh,Dairy,8077,8827,8.87,97.37,2599,Within Tolerance
2025-01-01,Austria,DC Vienna,Fresh,Produce,13884,11315,20.39,92.43,1938,High Forecast Error
2025-01-01,Austria,DC Vienna,Frozen,Frozen Meals,13876,11889,15.42,94.37,2672,Low Service Level
2025-02-01,Germany,DC Berlin,Ambient,Pasta,9917,9646,2.77,94.89,1448,Low Service Level
2025-02-01,Germany,DC Berlin,Ambient,Rice,12369,12310,0.48,97.55,4272,Within Tolerance
2025-02-01,Germany,DC Berlin,Fresh,Dairy,10716,12038,11.62,97.04,1995,Under Forecast
2025-02-01,Germany,DC Berlin,Fresh,Produce,17287,14962,14.42,94.09,2621,Low Service Level
2025-02-01,Germany,DC Berlin,Frozen,Frozen Meals,17974,14787,19.46,94.76,4012,Low Service Level
2025-02-01,Germany,DC Cologne,Ambient,Pasta,12640,10470,18.78,91.91,3063,Low Service Level
2025-02-01,Germany,DC Cologne,Ambient,Rice,16756,13537,21.25,93.09,3432,High Forecast Error
2025-02-01,Germany,DC Cologne,Fresh,Dairy,8030,8982,11.19,97.74,2342,Under Forecast
2025-02-01,Germany,DC Cologne,Fresh,Produce,8309,10608,24.31,93.99,1734,High Forecast Error
2025-02-01,Germany,DC Cologne,Frozen,Frozen Meals,8832,7514,16.13,96.0,2132,Over Forecast
2025-02-01,UK,DC Midlands,Ambient,Pasta,10805,10510,2.77,95.11,2788,Within Tolerance
2025-02-01,UK,DC Midlands,Ambient,Rice,12528,10981,13.16,94.77,1860,Low Service Level
2025-02-01,UK,DC Midlands,Fresh,Dairy,13260,14062,5.87,96.36,2262,Within Tolerance
2025-02-01,UK,DC Midlands,Fresh,Produce,6957,8612,21.26,91.69,1480,High Forecast Error
2025-02-01,UK,DC Midlands,Frozen,Frozen Meals,8796,10139,14.19,96.21,2086,Under Forecast
